,Unnamed: 0,Nodes Complet,Edges Complet,Diameter Complet,Density Complet,Cluster biconected Complet,Max degree Complet,Mean degree Complet,Sd degree Complet,Var degree Complet,Mean indegree Complet,Mean outdegree Complet,Mean betweenness Complet,Sd betweenness Complet,var betweenness Complet,Mean closeness Complet,Sd closeness Complet,Var closeness Complet,Nodes Cluster,Edges Cluster,Diameter Cluster,Density Cluster,Cluster biconected Cluster,Max degree Cluster,Mean degree Cluster,Sd degree Cluster,Var degree Cluster,Mean indegree Cluster,Mean outdegree Cluster,Mean betweenness Cluster,Sd betweenness Cluster,var betweenness Cluster,Mean closeness Cluster,Sd closeness Cluster,Var closeness Cluster
0,unique_2.0\000d50549dd68ab18539a1d7918cfb4f5914515f.txt,2742,10197,6,0.0013567378258825182,13,279,7.437636761487965,11.860382547160171,140.66867416498155,3.7188183807439823,3.7188183807439823,21.47374179431072,187.73755448411254,35245.38936367513,0.2632260561214162,0.02701638632408009,0.0007298851300119419,2730,10185,6,0.0013670828987794909,1,279,7.461538461538463,11.876740566558173,141.05696648532853,3.7307692307692313,3.7307692307692313,21.546153846153846,188.14416336358397,35398.226207782966,0.2638777972073874,0.02678378201691117,0.0007173709791294139
1,unique_2.0\000e7f1857c04d07275d6ced01c6e571d2c2df12.txt,2184,6430,7,0.0013486666029038912,15,148,5.888278388278389,8.125017775145007,66.01591384642232,2.9441391941391943,2.9441391941391943,37.67124542124542,316.41118449894236,100116.03767602373,0.2321848584143301,0.031714984358187544,0.0010058402328400806,2163,6403,7,0.0013692138792055265,1,148,5.920480813684697,8.149911400004031,66.42105582791571,2.9602404068423485,2.9602404068423485,38.01664355062414,317.91866330407345,101072.27647704881,0.2333376484341018,0.03153413025334563,0.0009944013708349682
2,unique_2.0\00a97bbf39087cb3ab3fac45034eeb25ce507767.txt,1965,4127,3,0.0010693759943616132,122,312,4.200508905852416,16.551822579344947,273.9628306981131,2.1002544529262086,2.1002544529262086,0.3521628498727735,7.428505238289827,55.182690075299405,0.13509186009855526,0.019200936736296564,0.0003686759715512629,1316,2647,3,0.0015295803621990824,1,208,4.022796352583587,13.24485167530016,175.42609590070148,2.0113981762917934,2.0113981762917934,0.4977203647416413,9.046836018608946,81.84524194760016,0.14740890206162152,0.017900457346644392,0.000320426373219035
3,unique_2.0\00c625dd10b457809f3a0117ff1156ac00eb88fe.txt,418,767,5,0.0044003075051920176,30,44,3.669856459330144,4.566177447071853,20.849976478147624,1.834928229665072,1.834928229665072,1.8444976076555024,14.337408852115505,205.56129259272012,0.19204045262364214,0.02308033273443137,0.0005327017591320642,389,738,5,0.004889619166247052,1,44,3.794344473007712,4.641683494653386,21.54522566453768,1.897172236503856,1.897172236503856,1.9460154241645244,14.594816754332511,213.00867609254502,0.19731364926299186,0.022204052188566463,0.0004930199335925832
4,unique_2.0\00e7df1089c475cec09cbe71a7eb27f2fea2cfbc.txt,928,2301,5,0.0026747851802254212,25,108,4.9590517241379315,7.629956006263463,58.216228657515906,2.4795258620689653,2.4795258620689653,10.686422413793103,97.11604423379778,9431.526047620968,0.2436756955230772,0.031259129097299485,0.0009771331519216355,899,2268,5,0.0028093575886099626,1,107,5.045606229143493,7.677602439929941,58.945579225618175,2.5228031145717464,2.5228031145717464,10.90545050055617,96.91942666647995,9393.375265359186,0.2464267261313212,0.030792472134372344,0.0009481763401460975
5,unique_2.0\00e823e98aee0c8b0ec53946aebc39ebafcc7ad2.txt,165,325,3,0.012010347376201037,12,36,3.939393939393939,5.225053354491236,27.30118255728012,1.9696969696969695,1.9696969696969695,1.181818181818182,6.561642721959419,43.055155210643015,0.2459387631218984,0.033226267206759724,0.0011039848324949967,154,314,3,0.013326542738307443,1,36,4.077922077922079,5.3081913115885735,28.17689500042441,2.0389610389610393,2.0389610389610393,1.2532467532467533,6.714837427464419,45.08904167727697,0.25230099696498165,0.03178294147053424,0.001010155368519405
6,unique_2.0\00f4a8cd4a030f9c83e775242696703f7688d318.txt,1793,3911,4,0.0012172212373516053,96,75,4.362520914668154,6.7291494022021245,45.2814516771572,2.181260457334077,2.181260457334077,2.117679866146124,20.259152191435867,410.4332475157608,0.10200489713457392,0.024957016641000817,0.0006228526796191918,1361,3123,4,0.0016872325712062929,1,75,4.589272593681117,7.169861522365879,51.406914249902755,2.2946362968405585,2.2946362968405585,2.4144011756061716,22.853786977618213,522.2955792183517,0.14211808561473552,0.028268337423073213,0.0007990989006647213
7,unique_2.0\0a078f796199765d8325199b39b5ed74a37e6ef7.txt,471,783,2,0.003537064642905543,106,44,3.3248407643312103,4.590299522758031,21.070849708632604,1.6624203821656052,1.6624203821656052,0.15711252653927812,1.198734858831978,1.436965261778922,0.12195031878846807,0.022664894542284382,0.0005136974446128722,294,513,2,0.005955283137145643,1,32,3.4897959183673466,4.164480632001757,17.342898934317756,1.7448979591836735,1.7448979591836735,0.2074829931972789,1.4081796688635984,1.9829699798007936,0.14704600163467538,0.023684946066445747,0.0005609766701704438
8,unique_2.0\0a0e2ccefc997664c50eea6f879faa2d49489f3c.txt,10,12,1,0.13333333333333333,5,3,2.4,0.5163977794943222,0.26666666666666666,1.2,1.2,0.0,0.0,0.0,0.3417584065110302,0.06420662380207974,0.004122490540061793,4,5,1,0.4166666666666667,1,3,2.5,0.5773502691896257,0.3333333333333333,1.25,1.25,0.0,0.0,0.0,0.875,0.14433756729740646,0.02083333333333333
9,unique_2.0\0a1a1800b5dc750afc1b0df807c199cb3dbb1ff3.txt,9,10,1,0.1388888888888889,5,4,2.2222222222222223,1.092906420717,1.1944444444444444,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.4399176954732511,0.09534389740056116,0.009090458771528729,5,6,1,0.3,1,3,2.4,0.5477225575051661,0.3,1.2,1.2,0.0,0.0,0.0,0.72,0.0730296743340222,0.00533333333333334
